,Province/State,Country/Region,Lat,Long,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/29/2022,1/30/2022,1/31/2022,2/1/2022,2/2/2022
0,,Afghanistan,33.93911,67.709953,159896,160252,160692,161004,161057,161290,162111,162926,163555,164190
1,,Albania,41.1533,20.1683,248070,248859,251015,252577,254126,254126,255741,258543,258543,261240
2,,Algeria,28.0339,1.6596,238885,241406,243568,245698,247568,249310,250774,252117,253520,254885
3,,Andorra,42.5063,1.5218,33025,34701,35028,35028,35556,35556,35556,35958,35958,36315
4,,Angola,-11.2027,17.8739,97263,97594,97812,97901,98029,98057,98076,98116,98226,98267
5,,Antigua and Barbuda,17.0608,-61.7964,6023,6023,6442,6524,6558,6558,6558,6627,6627,6732
6,,Argentina,-38.4161,-63.6167,7940657,8041520,8130023,8207752,8271636,8313614,8335184,8378656,8427778,8472848
7,,Armenia,40.0691,45.0382,352399,353731,355662,358218,361754,364348,366433,367795,370922,374878
8,Australian Capital Territory,Australia,-35.4735,149.0124,31941,33071,33933,34418,34976,35520,36031,36474,37023,37426
9,New South Wales,Australia,-33.8688,151.2093,994277,1015495,1033364,1083622,1103219,1121481,1139787,1086483,1098290,1110567
10,Northern Territory,Australia,-12.4634,130.8456,9702,10721,11355,12309,18916,21764,23189,24311,25512,18083
11,Queensland,Australia,-27.4698,153.0251,344844,358336,369936,369807,390106,402656,406129,417689,427319,431859
12,South Australia,Australia,-34.9285,138.6007,103175,104550,109555,110332,115298,117002,118967,120233,121956,123539
13,Tasmania,Australia,-42.8821,147.3272,25884,26604,27356,27983,28684,29319,29946,30645,31311,31967
14,Victoria,Australia,-37.8136,144.9631,775888,789827,804121,817360,830604,841276,851689,863000,877553,889710
15,Western Australia,Australia,-31.9505,115.8605,1415,1442,1442,1454,1462,1505,1504,1551,1568,1609
16,,Austria,47.5162,14.5501,1625651,1650597,1684608,1727661,1766292,1801040,1828167,1855578,1881472,1920882
17,,Azerbaijan,40.1431,47.5769,634488,636956,640148,643509,647073,651341,656284,658470,663693,670313
18,,Bahamas,25.025885,-78.035889,32137,32238,32282,32376,32419,32486,32512,32562,32606,32645
19,,Bahrain,26.0275,50.55,334164,338524,343400,348655,355314,362022,368767,374575,382748,390602
20,,Bangladesh,23.685,90.3563,1699964,1715997,1731524,1747331,1762771,1773149,1785332,1798833,1811987,1824180
21,,Barbados,13.1939,-59.5432,39709,40632,41355,42122,42851,43481,43993,44430,45216,45897
22,,Belarus,53.7098,27.9534,728804,730207,732104,734078,736299,738601,740988,742953,744871,748505
23,,Belgium,50.8333,4.469936,2830719,2878212,2939439,3007724,3055925,3055925,3055925,3155239,3184201,3229629
24,,Belize,17.1899,-88.4976,47147,48263,49059,49794,50487,50487,50487,50487,52004,52775
25,,Benin,9.3077,2.3158,26309,26309,26450,26450,26450,26450,26450,26450,26450,26498
26,,Bhutan,27.5142,90.4336,3811,3951,4089,4225,4430,4566,4685,4891,5203,5393
27,,Bolivia,-16.2902,-63.5887,820583,828232,835170,841757,841757,847180,852280,855705,859530,863675
28,,Bosnia and Herzegovina,43.9159,17.6791,334141,336680,339281,341913,343986,343986,343986,347467,349095,351219
29,,Botswana,-22.3285,24.6849,245904,245904,245904,250746,250746,250746,250746,253036,253036,253036
30,,Brazil,-14.235,-51.9253,24142032,24342322,24560093,24789795,25050601,25256198,25360647,25463530,25634781,25820745
31,,Brunei,4.5353,114.7277,16148,16148,16179,16206,16293,16345,16345,16476,16476,16691
32,,Bulgaria,42.7339,25.4858,891277,903676,913592,923466,933337,939212,941814,951965,963108,972260
33,,Burkina Faso,12.2383,-1.5616,20514,20514,20591,20591,20611,20611,20611,20624,20649,20649
34,,Burma,21.9162,95.956,534163,534383,534503,534671,534908,535080,535254,535532,536393,536536
35,,Burundi,-3.3731,29.9189,37042,37138,37170,37265,37299,37299,37299,37432,37432,37469
36,,Cabo Verde,16.5388,-23.0418,55401,55471,55543,55595,55635,55658,55677,55695,55721,55739
37,,Cambodia,11.55,104.9167,121066,121094,121116,121150,121188,121242,121299,121355,121390,121438
38,,Cameroon,3.848,11.5021,114113,114113,114113,114113,114113,114113,114113,116718,116718,116718
39,Alberta,Canada,53.9333,-116.5765,466616,477841,477841,484400,487436,487436,487436,493973,495953,498977
40,British Columbia,Canada,53.7267,-127.6476,308079,314787,314787,318906,320540,320540,320540,324615,325851,327625
41,Diamond Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0
42,Grand Princess,Canada,0,0,13,13,13,13,13,13,13,13,13,13
43,Manitoba,Canada,53.7609,-98.8139,116133,116770,116770,117971,118862,118862,118862,120644,121131,121655
44,New Brunswick,Canada,46.5653,-66.4619,26391,26741,26741,27649,28045,28442,28716,28885,29113,29494
45,Newfoundland and Labrador,Canada,53.1355,-57.6604,14522,15811,15811,16493,16758,16758,16758,17359,17538,17786
46,Northwest Territories,Canada,64.8255,-124.8457,4680,5120,5120,5446,5614,5614,5614,5865,6073,6221
47,Nova Scotia,Canada,44.682,-63.7443,34689,35051,35543,35889,36255,36255,36255,37803,38059,38333
48,Nunavut,Canada,70.2998,-83.1076,1358,1439,1439,1487,1585,1585,1707,1737,1820,1820
49,Ontario,Canada,51.2538,-85.3232,1001455,1004879,1010247,1016099,1021436,1026291,1030251,1033294,1035916,1039825
50,Prince Edward Island,Canada,46.5107,-63.4168,6282,6282,6282,6812,7274,7274,7274,7779,7779,8379
51,Quebec,Canada,52.9399,-73.5491,838436,841413,841413,849519,853119,856628,859466,861889,864619,868435
52,Repatriated Travellers,Canada,,,13,13,13,13,13,13,13,13,13,13
53,Saskatchewan,Canada,52.9399,-106.4509,110399,111447,111447,113993,115405,116511,117858,118606,119272,119894
54,Yukon,Canada,64.2823,-135,2959,2981,2981,3038,3061,3061,3061,3106,3128,3146
55,,Central African Republic,6.6111,20.9394,13611,13840,13840,13898,13898,13898,13898,13919,13919,14023
56,,Chad,15.4542,18.7322,7073,7075,7075,7075,7075,7075,7075,7155,7155,7157
57,,Chile,-35.6751,-71.543,1984190,2001346,2020082,2045874,2075703,2107612,2137743,2165984,2190561,2221276
58,Anhui,China,31.8257,117.2264,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009
59,Beijing,China,40.1824,116.4142,1282,1298,1303,1313,1318,1341,1344,1348,1351,1355
60,Chongqing,China,30.0572,107.874,611,612,612,612,613,613,613,613,613,613
